Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
SETARIA_GRASS,1. Nandi seteria,1956,"KARI/Kenya
Seed Co.","KARI/Kenya
Seed Co.",1000-2500,2-3,"6.6-
16.4"," Drought tolerant
 Good forage
 Good
persistence
(under grazing)"
SETARIA_GRASS,2. Nasiwa setaria,ND,"KARI/Kenya
Seed Co.","Kenya Seed
Co.",1000-2500,2.5-3,"6.5-
17.4"," Good
persistence
(under grazing)
 Drought tolerant
 Good forage"
